x,y
0.0,10.228598378364934
0.0,10.64693721693422
0.0,11.352716945214947
0.0,11.059985253670133
0.0,11.803573532417518
0.0,10.576857007582063
0.0,10.369973668574458
0.05,8.167888496592797
0.05,8.10441299471641
0.05,10.962043730575344
0.05,10.754478259686968
0.05,10.689809213471863
0.05,11.77992115591141
0.05,10.098206075142349
0.05,11.654300411966794
0.05,9.443563928472788
0.05,11.214488199353934
0.05,10.115563827944511
0.05,8.550757296856368
0.1,11.399444141206441
0.1,10.640765224571725
0.1,9.365472797118686
0.1,9.918016822742363
0.1,11.941184529998223
0.1,9.622250638337785
0.1,8.203125624440922
0.1,9.755945967128902
0.1,8.175553066850037
0.1,11.011091669469698
0.1,9.921247462201222
0.15000000000000002,9.442899581542816
0.15000000000000002,9.910773766444278
0.15000000000000002,11.612629969165258
0.15000000000000002,11.693579136806253
0.15000000000000002,11.795476364215055
0.15000000000000002,11.160010803621656
0.15000000000000002,8.803028966343385
0.15000000000000002,10.156498637283086
0.15000000000000002,8.855510346856926
0.15000000000000002,9.42339097306261
0.15000000000000002,8.963979270793837
0.15000000000000002,10.483080605103769
0.15000000000000002,10.250084322392112
0.15000000000000002,8.987473304416573
0.15000000000000002,9.021881453737887
0.15000000000000002,11.19990632960046
0.15000000000000002,9.541119363060497
0.15000000000000002,11.627400510790084
0.15000000000000002,8.647404773234225
0.2,10.866939014665377
0.25,10.355325754337901
0.25,10.98780321146038
0.25,8.712435820442067
0.25,11.418193287768256
0.25,8.629944754137275
0.25,11.447200728879952
0.25,11.730910959560601
0.25,8.483058199526983
0.25,9.072284174926216
0.25,10.003407288124091
0.25,12.047825709305453
0.25,10.775761751193913
0.25,8.184092546933066
0.30000000000000004,9.671654808667867
0.30000000000000004,8.182463060325254
0.30000000000000004,10.044330913477374
0.30000000000000004,10.603440809721642
0.30000000000000004,11.226660740207201
0.30000000000000004,8.147833610804321
0.30000000000000004,9.470911041013647
0.30000000000000004,9.034702665232217
0.30000000000000004,11.13932077814194
0.30000000000000004,11.73835960129467
0.30000000000000004,10.426712115403596
0.30000000000000004,8.21413725177772
0.35000000000000003,11.430753993227846
0.35000000000000003,8.453543005278458
0.35000000000000003,9.318694443344661
0.35000000000000003,8.564830141271923
0.35000000000000003,10.388402147283534
0.35000000000000003,11.03799538234466
0.35000000000000003,11.18544164302223
0.35000000000000003,10.515142303386796
0.35000000000000003,9.659386102428622
0.35000000000000003,8.352215476936045
0.35000000000000003,10.007433899393568
0.35000000000000003,9.746262911441391
0.35000000000000003,8.840364442429749
0.35000000000000003,10.971562162987539
0.35000000000000003,12.0993862924843
0.35000000000000003,11.460611724714536
0.4,9.260435541504748
0.4,11.813135918810243
0.4,11.377489910557193
0.4,10.104188212142963
0.4,11.206112224441945
0.45,8.618180293552843
0.45,8.61099868382847
0.45,9.628458827770947
0.45,10.116342789676564
0.45,8.584750753896895
0.45,12.176509221632843
0.45,11.32749144894387
0.45,11.579649957011831
0.45,8.437662911997732
0.45,8.561675251698045
0.45,9.411715286684753
0.45,8.612555834035543
0.45,9.880050975273434
0.45,11.9610644359969
0.5,8.529206474055613
0.5,9.093499588656666
0.5,10.971810900131327
0.5,9.330987638140563
0.5,12.09063819442112
0.55,8.521909329640652
0.55,8.68727696490045
0.55,9.026458486935908
0.55,8.430268906970966
0.55,10.944279793346634
